k,c,success_count,fail_count,avg_min_length,avg_max_force
9585.86969733,1215.160178,0,1000,0.363542431021,9525.95246838
19921.2540395,1191.56739666,10,990,0.377649306614,9800.83015691
7499.3730136,724.165860568,0,1000,0.298343962422,5668.71279263
13342.715288,742.948442996,36,964,0.325874911935,5983.68042033
21272.2118357,300.013540183,447,553,0.277055023051,5157.54396081
23049.9692911,178.976207047,40,960,0.252899067479,5860.06401287
5019.46911921,1413.97380013,0,1000,0.365526455309,10926.0240735
20437.0376851,1489.09618995,0,1000,0.39524100803,11963.9838385
5176.65771607,956.314427458,0,1000,0.320084956741,7411.45701114
18119.3665455,132.287399984,15,985,0.212481661315,5310.78630687
6166.64170718,659.805368925,0,1000,0.27848387623,5080.71219442
10819.2835094,1463.25773145,0,1000,0.383186778463,11373.6396048
20459.6503695,226.849009758,222,778,0.255511482041,5258.18901352
29580.7721484,635.446786061,1000,0,0.344151037021,6216.36092216
26498.5100788,753.468058079,953,47,0.352514699825,6538.23483069
16262.4813347,1052.4305544,3,997,0.364705396,8499.15722426
28555.0438575,118.570941289,0,1000,0.255149862308,7066.57614951
14635.412657,888.603501104,8,992,0.346824473666,7166.00004741
10772.3455195,122.352760338,79,921,0.148629294166,3882.29819801
22081.5881076,437.435656869,944,56,0.30309348666,5182.63994564
25829.8728306,953.995319356,526,474,0.369434647638,8038.82755287
14776.5152396,342.710506089,822,178,0.258193341652,4153.57238895
23884.0352212,355.130521618,563,437,0.295042266304,5444.26693623
10198.5415951,695.218228418,5,995,0.30753547316,5524.89057324
5782.83229485,894.780458176,0,1000,0.314678437817,6951.62648043
16243.8532278,1279.19868221,0,1000,0.379501012793,10247.657738
28166.4715561,653.210324309,1000,0,0.345731976258,6078.11747343
13163.5192905,1118.18079456,0,1000,0.362715684145,8936.72397333
18020.8566505,898.62156639,87,913,0.353143500598,7377.83975281
26113.3462629,1445.64084016,19,981,0.397285786395,11834.8855651
18492.3032384,1146.2481554,7,993,0.373732430246,9350.41047344
29131.3827711,921.451635975,804,196,0.371412135627,7847.30414852
11899.9795973,949.847949993,0,1000,0.345144407282,7618.40397694
9131.67353721,514.782908791,68,932,0.267320935904,4055.19050117
15585.0369261,121.890966991,17,983,0.19466648595,4848.39611811
12337.2044088,652.834123625,77,923,0.309193696988,5246.60753208
9971.06008008,119.711753076,61,939,0.133459822348,3750.92237066
24754.3883855,1095.87872876,217,783,0.377708860811,9148.51078588
28157.5219489,948.343972648,688,312,0.37223644491,8044.29015358
27873.9918857,1011.50784276,544,456,0.37570121976,8558.08612277
16236.2668595,1290.05400529,0,1000,0.380933739702,10216.0078661
14270.4563755,233.574162531,502,498,0.224905948312,4218.74159999
21648.0588047,1036.37775989,118,882,0.370765449383,8557.16468039
11868.0447854,927.816899964,0,1000,0.34296278014,7415.86687946
